daily,ежедневный,taglich,denne,diariamente,diario,du quotidien
damage,ущерб,beschadigung,poskozeni,danificar,danar,dommage
damaged,поврежденный,beschadigt,poskozene,estragada,danada,endommage
dance,танцевать,tanzen,tanec,danca,danza,danse
danger,опасность,achtung,nebezpeci,perigo,peligro,danger
dantist,дантист,dantist,dantistka,dantista,dantista,dantiste
dark,темный,dunkel,temny,sombria,oscura,sombre
dash,тире,strich,pomlcka,traco,guion,tiret
data,данные,daten,data,dadas,datos,les donnees
date,дата,datum,schuzka,encontro,fecha,date
daughter,дочь,tochter,dceram,filha,hija,fille
day,день,tag,den,dia,dia,journee
deactivate,отключать,deaktivieren,deaktivovat,desativar,desactivar,desactiver
deal,сделка,deal,obchod,acordo,acuerdo,traiter
dealer,дилер,handler,obchodnik,revendedora,comerciante,marchande
dear,дорогой,sehr geehrter,mily,querida,querida,chere
debt,долг,schuld,dluh,divida,deuda,dette
debug,отлаживать,debuggen,ladit,depurar,depurar,deboguer
decade,десяток,dekade,desetileti,decada,decada,decennie
december,декабрь,dezember,prosinec,dezembro,diciembre,decembre
decession,уменьшение,dezession,decese,decessao,decesion,decession
decimeter,дециметр,dezimeter,decimetr,decimetro,decimetro,decimetre
decision,решение,entscheidung,rozhodnuti,decisao,decision,decision
declare,объявлять,erklaren,prohlasit,declarar,declarar,declarer
decode,декодировать,dekodieren,dekodovat,decodificar,descodificar,decoder
decorate,украшать,schmucken,vyzdobit,decorar,decorar,decorer
deduct,вычитать,abziehen,odecist,deduzir,deducir,deduire
default,умолчание,standard,vychozi,padrao,defecto,defaut
defence,оборона,verteidigung,obrana,defesa,defensa,la defense
defender,защитник,verteidiger,obrance,defensora,defensora,defenseure
define,определять,definieren,definovat,definir,definir,definir
deflation,дефляция,deflation,deflace,deflacao,deflation,deflation
delay,задержка,verzogern,zpozdeni,demora,retrasar,retard
delegate,делегировать,delegieren,delegat,delegar,delegar,deleguer
delete,удалять,oschen,odstranit,excluir,eliminar,effacer
delicate,тонкий,zart,delikatni,delicada,delicada,delicate
delicious,приятный,kostlich,lahodne,deliciosa,deliciosa,delicieuse
